fundingTime,fundingRate,markPrice
2020-09-13 16:00:00.004000+00:00,0.0001,
2020-09-14 00:00:00.003000+00:00,0.0001,
2020-09-14 08:00:00.008000+00:00,0.0001,
2020-09-14 16:00:00+00:00,0.0001,
2020-09-15 00:00:00+00:00,0.0001,
2020-09-15 08:00:00.010000+00:00,0.0001,
2020-09-15 16:00:00.003000+00:00,0.0001,
2020-09-16 00:00:00.014000+00:00,0.0001,
2020-09-16 08:00:00+00:00,0.0001,
2020-09-16 16:00:00.001000+00:00,0.0001,
2020-09-17 00:00:00.006000+00:00,0.0001,
2020-09-17 08:00:00.012000+00:00,0.0001,
2020-09-17 16:00:00+00:00,0.0001,
2020-09-18 00:00:00.001000+00:00,0.0001,
2020-09-18 08:00:00.002000+00:00,0.0001,
2020-09-18 16:00:00.002000+00:00,0.0001,
2020-09-19 00:00:00+00:00,-1.36e-05,
2020-09-19 08:00:00.005000+00:00,0.0001,
2020-09-19 16:00:00.008000+00:00,0.0001,
2020-09-20 00:00:00.002000+00:00,0.0001,
2020-09-20 08:00:00.005000+00:00,-0.00020633,
2020-09-20 16:00:00.005000+00:00,-0.00042585,
2020-09-21 00:00:00+00:00,0.0001,
2020-09-21 08:00:00.001000+00:00,0.0001,
2020-09-21 16:00:00+00:00,0.0001,
2020-09-22 00:00:00.001000+00:00,-4.279e-05,
2020-09-22 08:00:00+00:00,0.0001,
2020-09-22 16:00:00.004000+00:00,0.0001,
2020-09-23 00:00:00.007000+00:00,0.0001,
2020-09-23 08:00:00.001000+00:00,0.0001,
2020-09-23 16:00:00.001000+00:00,0.0001,
2020-09-24 00:00:00+00:00,-8.917e-05,
2020-09-24 08:00:00+00:00,0.0001,
2020-09-24 16:00:00+00:00,0.0001,
2020-09-25 00:00:00.009000+00:00,0.0001,
2020-09-25 08:00:00.045000+00:00,0.0001,
2020-09-25 16:00:00+00:00,-0.00039395,
2020-09-26 00:00:00+00:00,-0.00044892,
2020-09-26 08:00:00+00:00,0.0001,
2020-09-26 16:00:00.005000+00:00,0.0001,
2020-09-27 00:00:00+00:00,0.0001,
2020-09-27 08:00:00+00:00,0.0001,
2020-09-27 16:00:00.019000+00:00,0.0001,
2020-09-28 00:00:00.001000+00:00,0.0001,
2020-09-28 08:00:00+00:00,0.0001,
2020-09-28 16:00:00.002000+00:00,0.0001,
2020-09-29 00:00:00+00:00,0.0001,
2020-09-29 08:00:00+00:00,0.0001,
2020-09-29 16:00:00+00:00,0.0001,
2020-09-30 00:00:00.005000+00:00,0.0001,
2020-09-30 08:00:00+00:00,0.0001,
2020-09-30 16:00:00+00:00,0.0001,
2020-10-01 00:00:00+00:00,0.0001,
2020-10-01 08:00:00+00:00,0.0001,
2020-10-01 16:00:00+00:00,0.0001,
2020-10-02 00:00:00.011000+00:00,0.0001,
2020-10-02 08:00:00+00:00,0.0001,
2020-10-02 16:00:00.005000+00:00,0.0001,
2020-10-03 00:00:00+00:00,0.0001,
2020-10-03 08:00:00.001000+00:00,0.0001,
2020-10-03 16:00:00+00:00,0.0001,
2020-10-04 00:00:00+00:00,0.0001,
2020-10-04 08:00:00.003000+00:00,0.0001,
2020-10-04 16:00:00.001000+00:00,0.0001,
2020-10-05 00:00:00+00:00,0.0001,
2020-10-05 08:00:00+00:00,0.0001,
2020-10-05 16:00:00.012000+00:00,0.0001,
2020-10-06 00:00:00+00:00,0.0001,
2020-10-06 08:00:00.005000+00:00,0.0001,
2020-10-06 16:00:00+00:00,0.0001,
2020-10-07 00:00:00+00:00,0.0001,
2020-10-07 08:00:00+00:00,0.0001,
2020-10-07 16:00:00+00:00,0.0001,
2020-10-08 00:00:00+00:00,0.0001,
2020-10-08 08:00:00.009000+00:00,0.0001,
2020-10-08 16:00:00.003000+00:00,0.0001,
2020-10-09 00:00:00.001000+00:00,0.0001,
2020-10-09 08:00:00+00:00,0.0001,
2020-10-09 16:00:00.004000+00:00,0.0001,
2020-10-10 00:00:00.005000+00:00,0.0001,
2020-10-10 08:00:00+00:00,0.00028914,
2020-10-10 16:00:00.011000+00:00,0.00019105,
2020-10-11 00:00:00.002000+00:00,0.00070989,
2020-10-11 08:00:00.003000+00:00,0.0001,
2020-10-11 16:00:00.004000+00:00,0.0001,
2020-10-12 00:00:00.001000+00:00,0.0001,
2020-10-12 08:00:00+00:00,0.00022458,
2020-10-12 16:00:00.011000+00:00,0.0001,
2020-10-13 00:00:00.003000+00:00,0.0001,
2020-10-13 08:00:00+00:00,0.0001,
2020-10-13 16:00:00.001000+00:00,0.00017596,
2020-10-14 00:00:00.001000+00:00,0.0001,
2020-10-14 08:00:00+00:00,0.0001,
2020-10-14 16:00:00.001000+00:00,0.00028415,
2020-10-15 00:00:00+00:00,0.0001,
2020-10-15 08:00:00+00:00,0.0001,
2020-10-15 16:00:00+00:00,0.0001,
2020-10-16 00:00:00.002000+00:00,0.0001,
2020-10-16 08:00:00.003000+00:00,0.0001,
2020-10-16 16:00:00+00:00,0.0001,
2020-10-17 00:00:00.006000+00:00,0.0001,
2020-10-17 08:00:00.007000+00:00,0.0001,
2020-10-17 16:00:00.009000+00:00,0.0001,
2020-10-18 00:00:00.006000+00:00,0.0001,
2020-10-18 08:00:00+00:00,0.0001,
2020-10-18 16:00:00+00:00,0.0001,
2020-10-19 00:00:00+00:00,0.0001,
2020-10-19 08:00:00+00:00,0.0001,
2020-10-19 16:00:00+00:00,0.0001,
2020-10-20 00:00:00.015000+00:00,0.0001,
2020-10-20 08:00:00+00:00,0.0001,
2020-10-20 16:00:00.008000+00:00,0.0001,
2020-10-21 00:00:00.009000+00:00,0.0001,
2020-10-21 08:00:00.004000+00:00,0.0001,
2020-10-21 16:00:00+00:00,0.0001,
2020-10-22 00:00:00+00:00,0.00035786,
2020-10-22 08:00:00+00:00,0.0001,
2020-10-22 16:00:00.004000+00:00,0.0001,
2020-10-23 00:00:00.007000+00:00,0.0001,
2020-10-23 08:00:00+00:00,0.00019126,
2020-10-23 16:00:00+00:00,0.00035682,
2020-10-24 00:00:00+00:00,0.0005586,
2020-10-24 08:00:00+00:00,0.0001,
2020-10-24 16:00:00.008000+00:00,0.0008903,
2020-10-25 00:00:00.005000+00:00,0.00059139,
2020-10-25 08:00:00.014000+00:00,0.00027335,
2020-10-25 16:00:00+00:00,0.0001986,
2020-10-26 00:00:00.004000+00:00,0.0001,
2020-10-26 08:00:00+00:00,0.0001,
2020-10-26 16:00:00+00:00,0.0001,
2020-10-27 00:00:00+00:00,0.0001,
2020-10-27 08:00:00+00:00,0.0001,
2020-10-27 16:00:00+00:00,0.0001,
2020-10-28 00:00:00+00:00,0.0001,
2020-10-28 08:00:00.006000+00:00,0.0001,
2020-10-28 16:00:00.001000+00:00,0.0001,
2020-10-29 00:00:00+00:00,0.0001,
2020-10-29 08:00:00+00:00,0.0001,
2020-10-29 16:00:00+00:00,0.0001,
2020-10-30 00:00:00+00:00,0.0001,
2020-10-30 08:00:00.002000+00:00,0.0001,
2020-10-30 16:00:00.002000+00:00,-2.73e-06,
2020-10-31 00:00:00.003000+00:00,-0.00062124,
2020-10-31 08:00:00+00:00,4.476e-05,
2020-10-31 16:00:00+00:00,-0.00035502,
2020-11-01 00:00:00+00:00,-0.0014979,
2020-11-01 08:00:00+00:00,0.0001,
2020-11-01 16:00:00+00:00,0.0001,
2020-11-02 00:00:00+00:00,0.0001,
2020-11-02 08:00:00.010000+00:00,0.0001,
2020-11-02 16:00:00+00:00,0.0001,
2020-11-03 00:00:00+00:00,0.0001,
2020-11-03 08:00:00.004000+00:00,0.0001,
2020-11-03 16:00:00.009000+00:00,0.0001,
2020-11-04 00:00:00+00:00,0.0001,
2020-11-04 08:00:00+00:00,0.0001,
2020-11-04 16:00:00.005000+00:00,0.0001,
2020-11-05 00:00:00.017000+00:00,0.0001,
2020-11-05 08:00:00.001000+00:00,0.0001,
2020-11-05 16:00:00+00:00,0.0001,
2020-11-06 00:00:00+00:00,0.0001,
2020-11-06 08:00:00.001000+00:00,0.0001,
