fundingTime,fundingRate,markPrice
2023-11-14 08:00:00+00:00,0.00013623,2061.59000000
2023-11-14 16:00:00.001000+00:00,0.0001,2039.18813291
2023-11-15 00:00:00+00:00,0.0001,1979.75289030
2023-11-15 08:00:00+00:00,0.0001,1983.98000000
2023-11-15 16:00:00+00:00,0.0001,2022.15000000
2023-11-16 00:00:00+00:00,0.0001,2059.29000000
2023-11-16 08:00:00+00:00,0.0001,2054.31647619
2023-11-16 16:00:00.001000+00:00,0.0001,1995.83000000
2023-11-17 00:00:00+00:00,0.0001,1962.07922344
2023-11-17 08:00:00.001000+00:00,0.0001,1970.53057875
2023-11-17 16:00:00.001000+00:00,0.0001,1918.85260256
2023-11-18 00:00:00+00:00,0.0001,1961.21000000
2023-11-18 08:00:00+00:00,0.0001,1936.47534066
2023-11-18 16:00:00+00:00,0.0001,1953.17340110
2023-11-19 00:00:00+00:00,0.0001,1963.03469597
2023-11-19 08:00:00+00:00,0.0001,1961.94580495
2023-11-19 16:00:00+00:00,0.0001,1966.83244139
2023-11-20 00:00:00+00:00,0.0001,2012.36017033
2023-11-20 08:00:00+00:00,0.0001,2019.69000000
2023-11-20 16:00:00+00:00,0.0001,2043.11663287
2023-11-21 00:00:00+00:00,0.0001,2022.53000000
2023-11-21 08:00:00+00:00,0.0001,2004.84465211
2023-11-21 16:00:00+00:00,0.0001,1988.95889744
2023-11-22 00:00:00+00:00,0.0001,1933.53839927
2023-11-22 08:00:00+00:00,0.0001,1993.97000000
2023-11-22 16:00:00+00:00,0.0001,2033.87000000
2023-11-23 00:00:00+00:00,0.0001,2063.90136264
2023-11-23 08:00:00+00:00,0.0001,2066.50000000
2023-11-23 16:00:00.001000+00:00,0.0001,2042.49000000
2023-11-24 00:00:00+00:00,0.0001,2062.58464103
2023-11-24 08:00:00+00:00,0.0001,2080.50000000
2023-11-24 16:00:00+00:00,0.0001,2117.44002930
2023-11-25 00:00:00+00:00,0.0001,2081.11207013
2023-11-25 08:00:00+00:00,0.0001,2088.47000000
2023-11-25 16:00:00+00:00,0.0001,2078.00000000
2023-11-26 00:00:00+00:00,0.0001,2083.02988828
2023-11-26 08:00:00+00:00,0.0001,2089.19000000
2023-11-26 16:00:00+00:00,0.0001,2064.80736264
2023-11-27 00:00:00+00:00,0.0001,2061.97000000
2023-11-27 08:00:00.001000+00:00,0.0001,2045.17966117
2023-11-27 16:00:00+00:00,0.0001,2002.77000000
2023-11-28 00:00:00+00:00,0.0001,2027.48098901
2023-11-28 08:00:00+00:00,0.0001,2014.43367582
2023-11-28 16:00:00+00:00,0.0001,2036.30000000
2023-11-29 00:00:00.001000+00:00,0.0001,2048.20000000
2023-11-29 08:00:00+00:00,0.0001,2057.29296703
2023-11-29 16:00:00+00:00,0.0001,2031.31000000
2023-11-30 00:00:00+00:00,0.0001,2028.57204924
2023-11-30 08:00:00+00:00,0.0001,2035.52000000
2023-11-30 16:00:00+00:00,0.0001,2032.90660985
