idx,chain,signal_time,year,direction,fvg_b,fvg_t,x1_b,x1_t,obh_b,obh_t,entry,sl,tp,risk_abs,risk_pct,outcome,R,entry_time,exit_time
128,F,2025-07-06 12:00:00+00:00,2025,LONG,107918.65,107950.35,107864.75,108112.2,107800.01,108040.31,107940.84,106861.43,110099.66,1079.41,1.0,win,2.0,2025-07-07 16:21:00,2025-07-09 19:24:00
129,J,2025-08-31 10:00:00+00:00,2025,SHORT,108756.24,108968.26,108926.15,109480.02,108708.25,109100.0,108819.85,109908.04,106643.45,1088.2,1.0,loss,-1.0,2025-08-31 15:51:00,2025-09-01 09:33:00
130,J,2025-08-31 20:00:00+00:00,2025,SHORT,109088.63,109106.1,108926.15,109480.02,108993.88,109237.51,109093.87,110184.81,106911.99,1090.94,1.0,loss,-1.0,2025-08-31 20:13:00,2025-09-02 02:59:00
131,F,2025-09-01 00:00:00+00:00,2025,SHORT,108934.13,109070.79,108926.15,109480.02,108930.0,109230.0,108975.13,110064.88,106795.63,1089.75,1.0,loss,-1.0,2025-09-01 07:48:00,2025-09-02 02:58:00
132,F,2025-09-01 12:00:00+00:00,2025,SHORT,109261.97,109486.0,108926.15,109480.02,109432.99,109912.4,109329.18,110422.47,107142.6,1093.29,1.0,loss,-1.0,2025-09-01 13:19:00,2025-09-02 03:07:00
133,J,2025-09-01 16:00:00+00:00,2025,SHORT,108800.0,108944.54,108926.15,109237.51,109023.61,109373.1,108843.36,109931.8,106666.49,1088.43,1.0,loss,-1.0,2025-09-01 16:06:00,2025-09-02 02:57:00
134,F,2025-09-01 22:00:00+00:00,2025,SHORT,109110.09,109167.26,108926.15,109480.02,108927.61,109329.65,109127.24,110218.51,106944.7,1091.27,1.0,loss,-1.0,2025-09-01 23:44:00,2025-09-02 02:59:00
135,B,2025-10-13 15:00:00+00:00,2025,SHORT,114800.0,114880.22,114821.13,115554.83,114412.25,115530.0,114824.07,115972.31,112527.58,1148.24,1.0,win,2.0,2025-10-13 16:08:00,2025-10-14 05:35:00
136,J+K,2025-10-13 15:00:00+00:00,2025,SHORT,114730.96,114831.35,114821.13,115554.83,114412.25,115530.0,114761.08,115908.69,112465.86,1147.61,1.0,win,2.0,2025-10-13 16:08:00,2025-10-14 05:41:00
137,B,2025-12-06 12:00:00+00:00,2025,LONG,89608.58,89612.0,88901.6,89629.27,89462.0,89574.12,89610.97,88714.86,91403.19,896.11,1.0,loss,-1.0,2025-12-06 12:00:00,2025-12-07 13:22:00
138,K,2025-12-06 12:00:00+00:00,2025,LONG,89577.62,89598.12,88901.6,89629.27,89462.0,89574.12,89591.97,88696.05,91383.81,895.92,1.0,loss,-1.0,2025-12-06 12:01:00,2025-12-07 13:22:00
139,B,2025-12-07 01:00:00+00:00,2025,LONG,89367.18,89392.39,88901.6,89629.27,88908.01,89285.93,89384.83,88490.98,91172.52,893.85,1.0,loss,-1.0,2025-12-07 01:45:00,2025-12-07 14:23:00
140,K,2025-12-07 01:00:00+00:00,2025,LONG,89383.46,89392.39,88901.6,89629.27,88908.01,89285.93,89389.71,88495.81,91177.51,893.9,1.0,loss,-1.0,2025-12-07 01:43:00,2025-12-07 14:23:00
141,B,2026-04-15 09:00:00+00:00,2026,LONG,73781.63,73839.02,73806.09,73954.86,73514.0,73891.62,73821.8,73083.58,75298.24,738.22,1.0,win,2.0,2026-04-15 10:33:00,2026-04-15 22:39:00
142,K,2026-04-15 09:00:00+00:00,2026,LONG,73781.63,73864.69,73806.09,73954.86,73514.0,73891.62,73839.77,73101.37,75316.57,738.4,1.0,win,2.0,2026-04-15 10:31:00,2026-04-15 22:39:00
143,B,2026-04-23 23:00:00+00:00,2026,LONG,77913.47,77917.05,77174.01,78048.61,77800.0,77886.97,77915.98,77136.82,79474.3,779.16,1.0,win,2.0,2026-04-24 03:23:00,2026-04-27 01:01:00
144,B,2026-04-24 06:00:00+00:00,2026,LONG,77653.64,77714.55,77174.01,78048.61,77457.0,77737.84,77696.28,76919.31,79250.2,776.96,1.0,win,2.0,2026-04-24 07:21:00,2026-04-27 00:55:00
145,K,2026-04-24 06:00:00+00:00,2026,LONG,77695.68,77714.55,77174.01,78048.61,77457.0,77737.84,77708.89,76931.8,79263.07,777.09,1.0,win,2.0,2026-04-24 07:19:00,2026-04-27 00:55:00
146,B,2026-04-25 09:00:00+00:00,2026,LONG,77503.63,77506.62,77402.01,77737.84,77450.0,77503.63,77505.72,76730.67,79055.84,775.06,1.0,win,2.0,2026-04-25 15:49:00,2026-04-27 00:55:00
147,K,2026-04-25 09:00:00+00:00,2026,LONG,77584.32,77618.0,77402.01,77737.84,77450.0,77503.63,77607.9,76831.82,79160.05,776.08,1.0,win,2.0,2026-04-25 09:23:00,2026-04-27 00:55:00
148,B,2026-04-25 14:00:00+00:00,2026,LONG,77578.67,77609.45,77402.01,77737.84,77550.61,77682.29,77600.22,76824.21,79152.22,776.0,1.0,win,2.0,2026-04-25 15:48:00,2026-04-27 00:55:00
149,K,2026-04-25 14:00:00+00:00,2026,LONG,77578.67,77604.65,77402.01,77737.84,77550.61,77682.29,77596.86,76820.89,79148.79,775.97,1.0,win,2.0,2026-04-25 15:48:00,2026-04-27 00:55:00
