target,rank,feature,importance
y_low_strong_5,20,zs_LONG_OB_4h_width_pct,0.007537108017185991
y_low_strong_5,21,lopez_gk_vol,0.00750399020358435
y_low_strong_5,22,vsa_vol_up_down_ratio_60,0.006578955429641823
y_low_strong_5,23,candle_lower_wick_pct,0.006413526502494066
y_low_strong_5,24,zs_LONG_OB_2h_width_pct,0.006154745735165325
y_low_strong_5,25,sweep_SSL_mag_168h_pct,0.005909339102699825
y_low_strong_5,26,zs_SHORT_FVG_2h_width_pct,0.00585503325250314
y_low_strong_5,27,zs_LONG_FVG_1d_width_pct,0.005791908639837746
y_low_strong_5,28,zs_LONG_OB_1d_age_h,0.005555560642130548
y_low_strong_5,29,vad_dist_maxV_prev_pct,0.005495488509194142
y_low_strong_5,30,lopez_sadf,0.005321144290409402
y_high_strong_3,1,sweep_BSL_failed_24h,0.3222260949008805
y_high_strong_3,2,sweep_BSL_mag_24h_pct,0.14449091956997545
y_high_strong_3,3,candle_close_pos_in_range,0.07650096726854701
y_high_strong_3,4,candle_range_vs_atr,0.04139907955447347
y_high_strong_3,5,sweep_BSL_mag_72h_pct,0.028119431073172264
y_high_strong_3,6,candle_upper_wick_pct,0.022529277537379766
y_high_strong_3,7,bulk_bars_since_v_bottom,0.020602828080042088
y_high_strong_3,8,vsa_climax_bear,0.018709233776640265
y_high_strong_3,9,vad_dist_maxV_prev_pct,0.011388847885187448
y_high_strong_3,10,vad_maxV_align,0.010896073261424149
y_high_strong_3,11,vad_maxV_sweep_HH,0.010418884617417542
y_high_strong_3,12,zs_LONG_OB_4h_age_h,0.008169139646934736
y_high_strong_3,13,bars_since_30d_high,0.007949308180170742
y_high_strong_3,14,n_SHORT_OB_1h,0.007147015981566624
y_high_strong_3,15,zs_LONG_FVG_12h_age_h,0.007065716855557199
y_high_strong_3,16,lopez_gk_vol,0.006997670047377505
y_high_strong_3,17,usdtd_1d_return_pct,0.006819046707301907
y_high_strong_3,18,sweep_BSL_mag_168h_pct,0.006599107040419335
y_high_strong_3,19,zs_SHORT_OB_1h_width_pct,0.006446185270453209
y_high_strong_3,20,pre_3d_return_pct,0.006317134173091897
y_high_strong_3,21,zs_SHORT_FVG_1d_age_h,0.0062362833898753686
y_high_strong_3,22,zs_SHORT_FVG_1h_age_h,0.006234869080049539
y_high_strong_3,23,zs_SHORT_FVG_12h_age_h,0.005583586005431414
y_high_strong_3,24,zs_SHORT_OB_1d_width_pct,0.00546498448276052
y_high_strong_3,25,dist_block_12h_above_pct,0.005147543474638463
y_high_strong_3,26,rsi_14,0.005050257212611185
y_high_strong_3,27,zs_LONG_FVG_2h_touch_count,0.005040273030193136
y_high_strong_3,28,zs_SHORT_OB_1d_birth_body_pct,0.005026082279594718
y_high_strong_3,29,zs_SHORT_OB_12h_width_pct,0.004881803092036744
y_high_strong_3,30,zs_LONG_FVG_2h_width_pct,0.004726741773085814
y_high_strong_4,1,sweep_BSL_failed_24h,0.31140719657072213
y_high_strong_4,2,sweep_BSL_mag_24h_pct,0.156105162571975
y_high_strong_4,3,candle_close_pos_in_range,0.08008506200060812
y_high_strong_4,4,vsa_climax_bear,0.03456277013647552
y_high_strong_4,5,candle_range_vs_atr,0.02240526096126197
