signal_time,direction_x,htf,ltf,outcome,R,exit_reason,hold_h,max_R,tf,direction_y,side,distance_pct,age_bars,P_hit_D,P_hit_12h,n_train,bucket_used,direction,direction_model
2020-06-04 06:30:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,0.3666666666666666,0.597371998187643,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-06-04 11:20:00+00:00,LONG,1h,20m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-06-04 18:45:00+00:00,SHORT,1h,15m,win,0.24857847330549,score_exit,1.6833333333333331,0.926214797296172,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-05 08:20:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,0.2,0.0783442759304093,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-06-05 13:40:00+00:00,LONG,1h,20m,win,0.5744749059045974,score_exit,1.1,0.7395129596429083,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-06-06 12:20:00+00:00,SHORT,1h,20m,loss,-1.0,sl_hit,7.783333333333333,2.0962629844017644,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-07 04:30:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
2020-06-07 22:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,3.683333333333333,1.475138747309969,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-06-08 09:15:00+00:00,LONG,1h,15m,loss,-1.0,sl_hit,2.4,0.516874348822652,1h,long,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,LONG,LONG
2020-06-11 20:20:00+00:00,LONG,1h,20m,loss,-1.0,sl_hit,0.75,1.1323692444137752,1h,long,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,LONG,LONG
2020-06-12 14:15:00+00:00,SHORT,1h,15m,no_entry,0.0,tp_proxy_before_entry,0.0,0.0,1h,short,below,0.0,0,0.9176114688503219,0.9175584066526762,108,no_age,SHORT,SHORT
2020-06-13 19:40:00+00:00,SHORT,1h,20m,loss,-1.0,sl_hit,2.8666666666666667,0.816822297249385,1h,short,above,0.0,0,0.9622700765506446,0.9394989873116796,131,no_age,SHORT,SHORT
