signal_time,direction,outcome,R,entry,sl,tp,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2024-01-19T19:00:00+00:00,LONG,loss,-1.0,41250.0,40648.83,42572.58,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,counter,aligned,neutral,green,red,counter,red,counter,counter,counter,19,Friday,off,aligned,high
2023-12-28T03:00:00+00:00,SHORT,loss,-1.0,43418.38,43572.34,43079.66,aligned,aligned,aligned,counter,counter,aligned,aligned,aligned,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OB,neutral,green,counter,grey_from_red,counter,counter,counter,3,Thursday,Asia,counter,med
2024-07-22T08:00:00+00:00,SHORT,loss,-1.0,67520.0,67989.73,66486.59,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,counter,counter,counter,counter,neutral,red,grey_from_green,aligned,green,counter,aligned,counter,8,Monday,London,counter,high
2024-08-26T01:00:00+00:00,SHORT,win,2.2,64200.0,64630.24,63253.48,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,counter,counter,counter,neutral,red,green,counter,grey_from_green,aligned,counter,counter,1,Monday,Asia,counter,low
2024-08-20T16:00:00+00:00,SHORT,loss,-1.0,59446.03,60798.63,56470.31,counter,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,neutral,neutral,grey_from_green,aligned,green,counter,counter,counter,16,Tuesday,NY,aligned,med
2024-09-23T06:00:00+00:00,SHORT,win,2.2,63787.68,64262.63,62742.78,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OB,red,green,counter,grey_from_green,aligned,counter,counter,6,Monday,Asia,aligned,high
2024-09-10T02:00:00+00:00,SHORT,loss,-1.0,56998.19,57488.92,55918.59,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,red,red,green,counter,green,counter,counter,aligned,2,Tuesday,Asia,counter,high
2025-04-15T18:00:00+00:00,SHORT,loss,-1.0,84623.73,85952.11,81701.3,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,counter,aligned,yellow_OS,yellow_OB,grey_from_green,aligned,green,counter,counter,counter,18,Tuesday,off,aligned,med
2025-09-04T06:00:00+00:00,SHORT,win,2.2,111136.0,111895.43,109465.25,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,yellow_OS,red,red,aligned,green,counter,counter,counter,6,Thursday,Asia,counter,med
2025-09-23T22:00:00+00:00,LONG,loss,-1.0,111994.99,111651.55,112750.57,counter,aligned,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,aligned,aligned,counter,aligned,counter,counter,counter,yellow_OS,green,red,counter,grey_from_red,aligned,counter,counter,22,Tuesday,off,aligned,med
2025-10-27T09:00:00+00:00,SHORT,win,2.2,115489.53,115893.94,114599.84,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,yellow_OB,red,green,counter,green,counter,counter,counter,9,Monday,London,aligned,high
2025-10-26T03:00:00+00:00,SHORT,loss,-1.0,111520.0,111747.59,111019.31,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,aligned,counter,aligned,counter,counter,neutral,red,grey_from_green,aligned,green,counter,counter,counter,3,Sunday,Asia,counter,low
2025-11-12T16:00:00+00:00,SHORT,win,2.2,103604.57,105071.1,100378.21,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,neutral,neutral,green,counter,red,aligned,aligned,aligned,16,Wednesday,NY,aligned,med
2025-11-12T18:00:00+00:00,SHORT,win,2.2,101961.97,105145.82,94957.49,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,yellow_OS,neutral,grey_from_green,aligned,red,aligned,aligned,aligned,18,Wednesday,off,counter,med
2026-01-12T16:00:00+00:00,LONG,win,2.2,91131.39,90525.0,92465.45,aligned,aligned,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,neutral,neutral,red,counter,green,aligned,aligned,aligned,16,Monday,NY,counter,high
2026-03-03T18:00:00+00:00,LONG,win,2.2,67834.93,66679.16,70377.62,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,aligned,aligned,counter,counter,aligned,aligned,neutral,yellow_OB,red,counter,green,aligned,counter,counter,18,Tuesday,off,aligned,med
