signal_time,direction,entry_pct,fvg_b,fvg_t,ob_b,ob_t,entry,sl,tp,outcome,R,fill_time
2020-01-31T15:20:00+00:00,LONG,0.4,9276.03,9285.43,9220.0,9385.41,9279.79,9220.0,9339.58,win,1.0,2020-01-31T15:59:00
2020-01-31T15:20:00+00:00,LONG,0.5,9276.03,9285.43,9220.0,9385.41,9280.73,9220.0,9341.46,win,1.0,2020-01-31T15:59:00
2020-01-31T15:20:00+00:00,LONG,0.6,9276.03,9285.43,9220.0,9385.41,9281.67,9220.0,9343.34,win,1.0,2020-01-31T15:59:00
2020-01-31T15:20:00+00:00,LONG,0.7,9276.03,9285.43,9220.0,9385.41,9282.61,9220.0,9345.22,win,1.0,2020-01-31T15:59:00
2020-01-31T15:20:00+00:00,LONG,0.8,9276.03,9285.43,9220.0,9385.41,9283.55,9220.0,9347.1,win,1.0,2020-01-31T16:02:00
2020-01-31T15:20:00+00:00,LONG,0.9,9276.03,9285.43,9220.0,9385.41,9284.49,9220.0,9348.98,win,1.0,2020-01-31T16:02:00
2020-02-04T06:00:00+00:00,LONG,0.1,9267.89,9275.0,9234.0,9270.0,9268.6,9234.0,9303.2,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,0.2,9267.89,9275.0,9234.0,9270.0,9269.31,9234.0,9304.62,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,0.3,9267.89,9275.0,9234.0,9270.0,9270.02,9234.0,9306.05,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,0.4,9267.89,9275.0,9234.0,9270.0,9270.73,9234.0,9307.47,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,0.5,9267.89,9275.0,9234.0,9270.0,9271.44,9234.0,9308.89,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,0.6,9267.89,9275.0,9234.0,9270.0,9272.16,9234.0,9310.31,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,0.7,9267.89,9275.0,9234.0,9270.0,9272.87,9234.0,9311.73,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,0.8,9267.89,9275.0,9234.0,9270.0,9273.58,9234.0,9313.16,win,1.0,2020-02-04T07:27:00
2020-02-04T06:00:00+00:00,LONG,0.9,9267.89,9275.0,9234.0,9270.0,9274.29,9234.0,9314.58,win,1.0,2020-02-04T07:27:00
2020-02-08T13:45:00+00:00,SHORT,0.1,9810.0,9812.46,9810.64,9831.0,9812.21,9831.0,9793.43,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,0.2,9810.0,9812.46,9810.64,9831.0,9811.97,9831.0,9792.94,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,0.3,9810.0,9812.46,9810.64,9831.0,9811.72,9831.0,9792.44,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,0.4,9810.0,9812.46,9810.64,9831.0,9811.48,9831.0,9791.95,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,0.5,9810.0,9812.46,9810.64,9831.0,9811.23,9831.0,9791.46,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,0.6,9810.0,9812.46,9810.64,9831.0,9810.98,9831.0,9790.97,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,0.7,9810.0,9812.46,9810.64,9831.0,9810.74,9831.0,9790.48,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,0.8,9810.0,9812.46,9810.64,9831.0,9810.49,9831.0,9789.98,no_entry,0.0,2020-02-08T14:07:00
2020-02-08T13:45:00+00:00,SHORT,0.9,9810.0,9812.46,9810.64,9831.0,9810.25,9831.0,9789.49,no_entry,0.0,2020-02-08T14:07:00
2020-02-18T04:45:00+00:00,LONG,0.1,9748.5,9771.1,9734.85,9773.01,9750.76,9734.85,9766.67,no_entry,0.0,2020-02-18T06:44:00
2020-02-18T04:45:00+00:00,LONG,0.2,9748.5,9771.1,9734.85,9773.01,9753.02,9734.85,9771.19,no_entry,0.0,2020-02-18T06:44:00
2020-02-18T04:45:00+00:00,LONG,0.3,9748.5,9771.1,9734.85,9773.01,9755.28,9734.85,9775.71,no_entry,0.0,2020-02-18T06:44:00
2020-02-18T04:45:00+00:00,LONG,0.4,9748.5,9771.1,9734.85,9773.01,9757.54,9734.85,9780.23,no_entry,0.0,2020-02-18T06:43:00
2020-02-18T04:45:00+00:00,LONG,0.5,9748.5,9771.1,9734.85,9773.01,9759.8,9734.85,9784.75,no_entry,0.0,2020-02-18T06:43:00
2020-02-18T04:45:00+00:00,LONG,0.6,9748.5,9771.1,9734.85,9773.01,9762.06,9734.85,9789.27,no_entry,0.0,2020-02-18T06:43:00
2020-02-18T04:45:00+00:00,LONG,0.7,9748.5,9771.1,9734.85,9773.01,9764.32,9734.85,9793.79,no_entry,0.0,2020-02-18T06:43:00
2020-02-18T04:45:00+00:00,LONG,0.8,9748.5,9771.1,9734.85,9773.01,9766.58,9734.85,9798.31,no_entry,0.0,2020-02-18T06:42:00
2020-02-18T04:45:00+00:00,LONG,0.9,9748.5,9771.1,9734.85,9773.01,9768.84,9734.85,9802.83,no_entry,0.0,2020-02-18T05:44:00
2020-02-20T16:45:00+00:00,LONG,0.1,9565.0,9580.98,9518.08,9565.49,9566.6,9518.08,9615.12,no_entry,0.0,2020-02-20T17:12:00
2020-02-20T16:45:00+00:00,LONG,0.2,9565.0,9580.98,9518.08,9565.49,9568.2,9518.08,9618.31,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,0.3,9565.0,9580.98,9518.08,9565.49,9569.79,9518.08,9621.51,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,0.4,9565.0,9580.98,9518.08,9565.49,9571.39,9518.08,9624.7,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,0.5,9565.0,9580.98,9518.08,9565.49,9572.99,9518.08,9627.9,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,0.6,9565.0,9580.98,9518.08,9565.49,9574.59,9518.08,9631.1,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,0.7,9565.0,9580.98,9518.08,9565.49,9576.19,9518.08,9634.29,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,0.8,9565.0,9580.98,9518.08,9565.49,9577.78,9518.08,9637.49,no_entry,0.0,2020-02-20T17:10:00
2020-02-20T16:45:00+00:00,LONG,0.9,9565.0,9580.98,9518.08,9565.49,9579.38,9518.08,9640.68,no_entry,0.0,2020-02-20T17:10:00
2020-02-28T20:15:00+00:00,LONG,0.1,8579.28,8643.72,8445.0,8606.31,8585.72,8445.0,8726.45,no_entry,0.0,2020-02-29T14:20:00
2020-02-28T20:15:00+00:00,LONG,0.2,8579.28,8643.72,8445.0,8606.31,8592.17,8445.0,8739.34,no_entry,0.0,2020-02-29T14:09:00
2020-02-28T20:15:00+00:00,LONG,0.3,8579.28,8643.72,8445.0,8606.31,8598.61,8445.0,8752.22,no_entry,0.0,2020-02-29T14:09:00
2020-02-28T20:15:00+00:00,LONG,0.4,8579.28,8643.72,8445.0,8606.31,8605.06,8445.0,8765.11,no_entry,0.0,2020-02-29T11:07:00
2020-02-28T20:15:00+00:00,LONG,0.5,8579.28,8643.72,8445.0,8606.31,8611.5,8445.0,8778.0,win,1.0,2020-02-28T22:57:00
2020-02-28T20:15:00+00:00,LONG,0.6,8579.28,8643.72,8445.0,8606.31,8617.94,8445.0,8790.89,win,1.0,2020-02-28T23:01:00
2020-02-28T20:15:00+00:00,LONG,0.7,8579.28,8643.72,8445.0,8606.31,8624.39,8445.0,8803.78,loss,-1.0,2020-03-01T19:00:00
2020-02-28T20:15:00+00:00,LONG,0.8,8579.28,8643.72,8445.0,8606.31,8630.83,8445.0,8816.66,loss,-1.0,2020-03-01T19:00:00
2020-02-28T20:15:00+00:00,LONG,0.9,8579.28,8643.72,8445.0,8606.31,8637.28,8445.0,8829.55,loss,-1.0,2020-03-01T19:00:00
2020-02-29T23:00:00+00:00,LONG,0.1,8632.63,8632.7,8572.22,8634.42,8632.64,8572.22,8693.05,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,0.2,8632.63,8632.7,8572.22,8634.42,8632.64,8572.22,8693.07,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,0.3,8632.63,8632.7,8572.22,8634.42,8632.65,8572.22,8693.08,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,0.4,8632.63,8632.7,8572.22,8634.42,8632.66,8572.22,8693.1,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,0.5,8632.63,8632.7,8572.22,8634.42,8632.67,8572.22,8693.11,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,0.6,8632.63,8632.7,8572.22,8634.42,8632.67,8572.22,8693.12,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,0.7,8632.63,8632.7,8572.22,8634.42,8632.68,8572.22,8693.14,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,0.8,8632.63,8632.7,8572.22,8634.42,8632.69,8572.22,8693.15,loss,-1.0,2020-02-29T23:37:00
2020-02-29T23:00:00+00:00,LONG,0.9,8632.63,8632.7,8572.22,8634.42,8632.69,8572.22,8693.17,loss,-1.0,2020-02-29T23:37:00
2020-03-27T05:00:00+00:00,SHORT,0.1,,,,,6767.334000000001,6761.79,,invalid,0.0,
2020-03-27T05:00:00+00:00,SHORT,0.2,,,,,6764.488,6761.79,,invalid,0.0,
2020-03-27T05:00:00+00:00,SHORT,0.3,6741.72,6770.18,6692.55,6761.79,6761.64,6761.79,6761.49,no_entry,0.0,2020-04-02T14:42:00
2020-03-27T05:00:00+00:00,SHORT,0.4,6741.72,6770.18,6692.55,6761.79,6758.8,6761.79,6755.8,no_entry,0.0,2020-04-02T14:42:00
2020-03-27T05:00:00+00:00,SHORT,0.5,6741.72,6770.18,6692.55,6761.79,6755.95,6761.79,6750.11,no_entry,0.0,2020-04-02T14:42:00
2020-03-27T05:00:00+00:00,SHORT,0.6,6741.72,6770.18,6692.55,6761.79,6753.1,6761.79,6744.42,no_entry,0.0,2020-04-02T14:42:00
2020-03-27T05:00:00+00:00,SHORT,0.7,6741.72,6770.18,6692.55,6761.79,6750.26,6761.79,6738.73,no_entry,0.0,2020-04-02T14:42:00
2020-03-27T05:00:00+00:00,SHORT,0.8,6741.72,6770.18,6692.55,6761.79,6747.41,6761.79,6733.03,no_entry,0.0,2020-04-02T14:42:00
2020-03-27T05:00:00+00:00,SHORT,0.9,6741.72,6770.18,6692.55,6761.79,6744.57,6761.79,6727.34,no_entry,0.0,2020-04-02T14:42:00
2020-04-09T00:00:00+00:00,SHORT,0.1,7361.24,7364.3,7354.63,7420.0,7363.99,7420.0,7307.99,win,1.0,2020-04-09T01:34:00
2020-04-09T00:00:00+00:00,SHORT,0.2,7361.24,7364.3,7354.63,7420.0,7363.69,7420.0,7307.38,win,1.0,2020-04-09T01:34:00
2020-04-09T00:00:00+00:00,SHORT,0.3,7361.24,7364.3,7354.63,7420.0,7363.38,7420.0,7306.76,win,1.0,2020-04-09T01:34:00
2020-04-09T00:00:00+00:00,SHORT,0.4,7361.24,7364.3,7354.63,7420.0,7363.08,7420.0,7306.15,win,1.0,2020-04-09T01:34:00
2020-04-09T00:00:00+00:00,SHORT,0.5,7361.24,7364.3,7354.63,7420.0,7362.77,7420.0,7305.54,win,1.0,2020-04-09T01:34:00
