signal_time,direction,outcome,R,ob_tf,fvg_tf,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2021-01-21T23:00:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,green,grey_from_red,aligned,red,counter,counter,aligned,23,Thursday,off,aligned,high
2021-02-26T12:20:00+00:00,LONG,loss,-1.0,1h,20m,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,green,grey_from_red,aligned,red,counter,counter,aligned,12,Friday,NY,aligned,high
2021-03-06T16:15:00+00:00,LONG,win,1.0,1h,15m,counter,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,neutral,red,counter,red,counter,counter,counter,16,Saturday,NY,aligned,low
2021-03-17T15:15:00+00:00,LONG,win,1.0,1h,15m,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,yellow_OS,yellow_OS,red,counter,red,counter,counter,aligned,15,Wednesday,NY,aligned,low
2021-04-13T03:20:00+00:00,SHORT,loss,-1.0,2h,20m,counter,aligned,aligned,aligned,counter,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OB,yellow_OB,green,counter,grey_from_green,aligned,aligned,counter,3,Tuesday,Asia,aligned,med
2021-04-19T17:15:00+00:00,LONG,win,1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,yellow_OS,green,red,counter,grey_from_red,aligned,counter,aligned,17,Monday,off,aligned,low
2021-05-18T19:45:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,neutral,yellow_OS,red,counter,grey_from_red,aligned,counter,counter,19,Tuesday,off,aligned,low
2021-05-23T10:20:00+00:00,LONG,loss,-1.0,1h,20m,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OS,yellow_OS,red,counter,red,counter,counter,counter,10,Sunday,London,aligned,med
2021-06-16T00:00:00+00:00,SHORT,win,1.0,2h,15m,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,neutral,red,red,aligned,green,counter,counter,counter,0,Wednesday,Asia,aligned,med
2021-07-22T01:00:00+00:00,SHORT,loss,-1.0,1h,15m,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,red,red,grey_from_green,aligned,grey_from_red,counter,counter,aligned,1,Thursday,Asia,counter,med
2021-09-07T18:45:00+00:00,LONG,loss,-1.0,1h,15m,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,green,neutral,red,counter,grey_from_green,counter,aligned,aligned,18,Tuesday,off,aligned,high
2021-09-20T19:45:00+00:00,LONG,loss,-1.0,1h,15m,counter,counter,counter,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,green,green,grey_from_red,aligned,red,counter,counter,aligned,19,Monday,off,aligned,high
