signal_time,direction,outcome,R,entry,sl,tp,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2020-02-28T11:15:00+00:00,LONG,loss,-1.0,8597.52,8445.0,8933.06,na,na,na,na,counter,counter,counter,na,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,yellow_OS,green,red,counter,grey_from_red,aligned,counter,counter,11,Friday,London,aligned,med
2020-02-02T04:40:00+00:00,LONG,loss,-1.0,9281.49,9120.0,9636.78,na,na,na,na,aligned,na,na,na,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,counter,green,na,red,counter,grey_from_green,counter,counter,aligned,4,Sunday,Asia,aligned,med
2020-04-23T16:45:00+00:00,SHORT,loss,-1.0,7530.5,7600.0,7377.6,counter,counter,counter,na,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,counter,counter,red,yellow_OB,green,counter,green,counter,counter,counter,16,Thursday,NY,aligned,high
2020-03-19T23:15:00+00:00,SHORT,loss,-1.0,6227.72,6400.0,5848.69,aligned,na,na,na,counter,aligned,aligned,na,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,red,red,green,counter,green,counter,counter,aligned,23,Thursday,off,aligned,high
2020-05-14T12:00:00+00:00,SHORT,loss,-1.0,9714.45,9799.13,9528.17,counter,counter,counter,na,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,red,yellow_OB,green,counter,green,counter,counter,counter,12,Thursday,NY,aligned,high
2020-05-15T21:30:00+00:00,LONG,win,2.2,9327.3,9150.0,9717.34,aligned,aligned,aligned,na,aligned,counter,aligned,aligned,counter,aligned,aligned,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,green,neutral,red,counter,grey_from_green,counter,aligned,aligned,21,Friday,off,aligned,med
2020-08-07T20:15:00+00:00,LONG,win,2.2,11527.5,11322.0,11979.6,aligned,aligned,aligned,aligned,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,green,neutral,red,counter,grey_from_green,counter,aligned,aligned,20,Friday,off,aligned,med
2020-11-29T11:30:00+00:00,SHORT,loss,-1.0,18131.21,18250.0,17869.86,aligned,aligned,counter,counter,aligned,aligned,aligned,aligned,counter,counter,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,red,neutral,green,counter,green,counter,counter,counter,11,Sunday,London,aligned,med
2021-01-04T12:00:00+00:00,LONG,win,2.2,30363.36,28130.0,35276.75,aligned,aligned,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,aligned,aligned,counter,green,neutral,red,counter,grey_from_green,counter,aligned,aligned,12,Monday,NY,aligned,high
2021-05-01T06:00:00+00:00,SHORT,win,2.2,58160.71,58422.31,57585.21,counter,aligned,aligned,aligned,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,red,red,grey_from_green,aligned,green,counter,counter,counter,6,Saturday,Asia,aligned,med
