signal_time,direction,outcome,R,entry,sl,tp,hull_1d_L49,hull_1d_L78,hull_1d_L100,hull_1d_L160,hull_12h_L49,hull_12h_L78,hull_12h_L100,hull_12h_L160,hull_4h_L49,hull_4h_L78,hull_4h_L100,hull_4h_L160,hull_1h_L49,hull_1h_L78,hull_1h_L100,hull_1h_L160,ema200_1d,ema200_4h,ema200_1h,ema200_15m,asvk_1h,asvk_4h,mh_1h_color,mh_1h_color_align,mh_4h_color,mh_4h_color_align,mh_1h_mf_align,mh_4h_mf_align,hour,weekday,session,do_align,atr_ratio_bin
2020-01-23T07:20:00+00:00,LONG,loss,-1.0,8558.4,8517.75,8647.82,na,na,na,na,na,na,na,na,counter,counter,counter,na,counter,counter,counter,counter,aligned,aligned,counter,counter,green,na,red,counter,grey_from_red,aligned,counter,aligned,7,Thursday,London,aligned,med
2020-02-03T07:15:00+00:00,SHORT,win,2.2,9393.6,9415.54,9345.33,na,na,na,na,counter,na,na,na,aligned,aligned,aligned,counter,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,neutral,na,red,aligned,green,counter,counter,counter,7,Monday,London,aligned,med
2020-02-15T14:15:00+00:00,LONG,loss,-1.0,10240.11,10223.3,10277.09,na,na,na,na,counter,aligned,na,na,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,aligned,counter,yellow_OS,neutral,red,counter,grey_from_green,counter,aligned,aligned,14,Saturday,NY,aligned,low
2020-07-27T06:30:00+00:00,SHORT,win,2.2,10253.98,10300.24,10152.2,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,yellow_OB,red,green,counter,green,counter,counter,counter,6,Monday,Asia,aligned,high
2020-03-08T10:40:00+00:00,LONG,loss,-1.0,8727.77,8689.95,8810.97,counter,na,na,na,aligned,aligned,counter,na,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,green,yellow_OS,grey_from_red,aligned,red,counter,counter,aligned,10,Sunday,London,aligned,med
2020-04-02T18:15:00+00:00,SHORT,loss,-1.0,6975.0,7154.25,6580.65,counter,counter,na,na,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,aligned,counter,counter,red,red,green,counter,green,counter,counter,counter,18,Thursday,off,aligned,med
2020-04-09T12:30:00+00:00,LONG,loss,-1.0,7214.17,7139.31,7378.85,aligned,aligned,na,na,aligned,aligned,aligned,aligned,counter,counter,counter,aligned,counter,counter,counter,counter,counter,aligned,aligned,counter,neutral,yellow_OB,red,counter,grey_from_green,counter,counter,aligned,12,Thursday,NY,aligned,low
2020-04-16T13:40:00+00:00,SHORT,loss,-1.0,7025.81,7069.55,6929.59,aligned,counter,na,na,aligned,aligned,counter,counter,counter,counter,counter,aligned,counter,counter,counter,counter,aligned,counter,counter,counter,red,neutral,green,counter,red,aligned,aligned,aligned,13,Thursday,NY,aligned,high
2020-04-19T15:00:00+00:00,LONG,win,2.2,7098.1,7070.35,7159.14,aligned,aligned,na,na,aligned,counter,aligned,aligned,aligned,aligned,aligned,aligned,counter,counter,counter,counter,counter,aligned,aligned,counter,yellow_OS,yellow_OB,red,counter,green,aligned,aligned,counter,15,Sunday,NY,aligned,med
2020-05-26T17:15:00+00:00,LONG,win,2.2,8798.5,8733.25,8942.05,counter,counter,counter,na,counter,counter,counter,counter,counter,counter,counter,counter,counter,counter,aligned,counter,aligned,counter,counter,counter,yellow_OS,green,red,counter,grey_from_red,aligned,counter,counter,17,Tuesday,off,aligned,med
