year,dir,net,sym,chain
2021,-1,-1.0974776713591665,BTCUSDT,break
2021,1,1.907834385955011,BTCUSDT,break
2021,1,1.8680359125559847,BTCUSDT,break
2021,1,-1.0930211781001928,BTCUSDT,break
2021,1,-1.1153055006611015,BTCUSDT,break
2021,1,1.941425905883049,BTCUSDT,break
2021,1,-1.1090064359514151,BTCUSDT,break
2021,1,-1.0874473322291984,BTCUSDT,break
2021,1,-1.082513746172651,BTCUSDT,break
2021,-1,-1.1014696113633338,BTCUSDT,break
2021,-1,-1.1121230205622747,BTCUSDT,break
2021,-1,-1.0695697273577014,BTCUSDT,break
2021,-1,-1.0609034843956633,BTCUSDT,break
2021,1,-1.1867840947204344,BTCUSDT,break
2021,1,-1.0965681337695723,BTCUSDT,break
2021,-1,-1.108310035442676,BTCUSDT,break
2021,-1,-1.1765283652643581,BTCUSDT,break
2021,1,1.9255822339299926,BTCUSDT,break
2021,1,-1.11353631485876,BTCUSDT,break
2021,-1,-1.182226888683903,BTCUSDT,break
2021,-1,-1.1081776778109815,BTCUSDT,break
2021,1,-1.1189733976352274,BTCUSDT,break
2021,1,-1.1247097838339486,BTCUSDT,break
2021,-1,1.9006339679543702,BTCUSDT,break
2021,-1,1.8436129368372962,BTCUSDT,break
2021,1,-1.1272451705087683,BTCUSDT,break
2021,1,-1.1195209418808187,BTCUSDT,break
2021,-1,-1.0980971658813599,BTCUSDT,break
2021,-1,-1.1475204709488946,BTCUSDT,break
2021,-1,1.8854976587189543,BTCUSDT,break
2021,-1,-1.030381142311657,BTCUSDT,break
2021,1,-1.0396571373435841,BTCUSDT,break
2021,1,1.9250810143303771,BTCUSDT,break
2021,1,-1.0657888488796636,BTCUSDT,break
2021,1,1.9464614327527152,BTCUSDT,break
2021,-1,-1.0366933348346827,BTCUSDT,break
2021,1,-1.1208283108196644,BTCUSDT,break
2021,1,-1.0611768638074157,BTCUSDT,break
2021,-1,-1.0961120664998003,BTCUSDT,break
2021,-1,-1.1094283437455719,BTCUSDT,break
2021,1,-1.081184430738208,BTCUSDT,break
2021,1,-1.0911838631223039,BTCUSDT,break
2021,-1,-1.0884163620839356,BTCUSDT,break
2021,-1,1.9602718473743088,BTCUSDT,break
2021,1,-1.0441991680163878,BTCUSDT,break
2021,-1,-1.1458807805447109,BTCUSDT,break
2021,1,-1.1784297342498902,BTCUSDT,break
2021,-1,1.862494609228428,BTCUSDT,break
2021,-1,1.9092600621635918,BTCUSDT,break
2021,-1,1.780659847993816,BTCUSDT,break
2021,-1,1.8343958966285563,BTCUSDT,break
2021,-1,-1.1442211273371292,BTCUSDT,break
2021,-1,-1.136269349064088,BTCUSDT,break
2021,1,-1.0983177441002563,BTCUSDT,break
2021,1,-1.0633527249938701,BTCUSDT,break
2021,-1,-1.073243716581474,BTCUSDT,break
2021,1,1.9030178437944594,BTCUSDT,break
2021,1,-1.0767653566095212,BTCUSDT,break
2021,-1,-1.198187528286472,BTCUSDT,break
2021,1,-1.0851481960310156,BTCUSDT,break
2021,-1,-1.0762857299427506,BTCUSDT,break
2021,-1,-1.1952214760377646,BTCUSDT,break
2021,1,1.8986921802760162,BTCUSDT,break
2021,-1,-1.1117087841961064,BTCUSDT,break
2021,-1,-1.1753617240242957,BTCUSDT,break
2021,1,-1.1225932672509027,BTCUSDT,break
2021,1,-1.0983592196371328,BTCUSDT,break
2021,1,1.8519805322072156,BTCUSDT,break
2021,1,-1.2406403626908569,BTCUSDT,break
2021,1,1.9002882261800162,BTCUSDT,break
2021,1,1.8678831607726512,BTCUSDT,break
2021,1,-1.1151565966452792,BTCUSDT,break
2021,1,1.9161547923553726,BTCUSDT,break
2021,1,1.887151848937844,BTCUSDT,break
2021,1,-1.1135807766302142,BTCUSDT,break
2021,1,-1.0721905343922415,BTCUSDT,break
2021,-1,-1.0577370613241235,BTCUSDT,break
2021,1,-1.1742087836023485,BTCUSDT,break
2021,1,-1.1929764774999556,BTCUSDT,break
2021,-1,1.7954469688851777,BTCUSDT,break
2021,1,-1.106632193825531,BTCUSDT,break
2021,-1,-1.2249297758423334,BTCUSDT,break
2021,1,-1.048729994857843,BTCUSDT,break
2021,1,-1.2585440961955427,BTCUSDT,break
2021,1,-1.157257102810179,BTCUSDT,break
2021,-1,-1.1068781897611144,BTCUSDT,break
2021,-1,-1.1916265157740857,BTCUSDT,break
2021,-1,-1.1720818905655572,BTCUSDT,break
2021,-1,1.9237654560739441,BTCUSDT,break
2021,-1,-1.102006346881735,BTCUSDT,break
2021,-1,-1.0477229812220583,BTCUSDT,break
2021,-1,-1.0939108333333336,BTCUSDT,break
2021,1,-1.1454887726295693,BTCUSDT,break
2021,-1,-1.0761196470840069,BTCUSDT,break
2021,1,-1.1622332154101496,BTCUSDT,break
2021,1,-1.1056549033502336,BTCUSDT,break
2021,-1,-1.0811449851433037,BTCUSDT,break
2021,-1,-1.0856845784223017,BTCUSDT,break
2021,1,1.8358484938745183,BTCUSDT,break
2021,1,1.8614099909607706,BTCUSDT,break
2021,-1,1.8510049482625368,BTCUSDT,break
2021,-1,-1.1026292970380152,BTCUSDT,break
2022,1,1.8408062219493508,BTCUSDT,break
2022,1,-1.1627868742701555,BTCUSDT,break
2022,-1,-1.216451910428305,BTCUSDT,break
2022,1,-1.153052113388152,BTCUSDT,break
2022,-1,-1.093659894933747,BTCUSDT,break
2022,1,1.9255544995301694,BTCUSDT,break
2022,1,-1.0672115026593532,BTCUSDT,break
2022,-1,-1.190538685657649,BTCUSDT,break
2022,-1,-1.1204500330437284,BTCUSDT,break
2022,-1,1.9213720977163997,BTCUSDT,break
2022,-1,-1.0442636858816616,BTCUSDT,break
2022,-1,-1.1369089238060683,BTCUSDT,break
2022,1,1.890622962359691,BTCUSDT,break
2022,1,-1.0943212096506079,BTCUSDT,break
2022,1,-1.1100282693821217,BTCUSDT,break
2022,-1,-1.0630832820043716,BTCUSDT,break
2022,1,-1.132848015185504,BTCUSDT,break
2022,-1,-1.0681558271120262,BTCUSDT,break
2022,1,-1.0870052894026345,BTCUSDT,break
2022,-1,-1.142285245817894,BTCUSDT,break
2022,1,-1.2425625860067055,BTCUSDT,break
2022,-1,-1.1109086514767308,BTCUSDT,break
2022,1,1.8904939902659414,BTCUSDT,break
2022,1,-1.2538827247322413,BTCUSDT,break
2022,-1,-1.2101662855942397,BTCUSDT,break
2022,1,-1.2252432429010864,BTCUSDT,break
2022,-1,-1.141579021934782,BTCUSDT,break
2022,-1,-1.2837711388779203,BTCUSDT,break
2022,1,-1.264917416854939,BTCUSDT,break
2022,1,-1.0904343009113437,BTCUSDT,break
2022,1,-1.0876890321401251,BTCUSDT,break
2022,-1,-1.0200754199562532,BTCUSDT,break
2022,1,-1.1239765293910797,BTCUSDT,break
2022,-1,-1.098692059333698,BTCUSDT,break
2022,-1,-1.1271542704152158,BTCUSDT,break
2022,1,1.8898353910518035,BTCUSDT,break
2022,1,1.9100248178106258,BTCUSDT,break
2022,-1,1.8956888577071744,BTCUSDT,break
2022,-1,1.9746015789564884,BTCUSDT,break
2022,-1,-1.0609935711099485,BTCUSDT,break
2022,-1,-1.0408522932141946,BTCUSDT,break
2022,-1,-1.0489168164239255,BTCUSDT,break
2022,1,-1.079565417913353,BTCUSDT,break
2022,1,-1.0779306624330953,BTCUSDT,break
2022,-1,-1.1665168018828374,BTCUSDT,break
2022,-1,-1.100325919985194,BTCUSDT,break
2022,1,-1.1199550036771735,BTCUSDT,break
2022,1,1.9240652765838457,BTCUSDT,break
2022,1,-1.0591289649252977,BTCUSDT,break
2022,-1,-1.1001667665366222,BTCUSDT,break
2022,-1,-1.1269877331828073,BTCUSDT,break
2022,-1,1.8083707256634047,BTCUSDT,break
2022,-1,1.874863649495115,BTCUSDT,break
2022,1,-1.1795308575965269,BTCUSDT,break
2022,1,-0.707388537433019,BTCUSDT,break
2022,-1,-1.1932900468667451,BTCUSDT,break
2022,1,-1.1924768504026875,BTCUSDT,break
2022,1,-1.1251230103839698,BTCUSDT,break
