symbol,tf,kind,expdir,dirR,mfe_h,confirmed,height_atr,htf_align,regime_align,bar_mom,year
BTCUSDT,1h,HEAD_SHOULDERS,DOWN,-1,1.1774074775400363,1,2.9533434529040314,0,0,1.2545604644350432,2020
BTCUSDT,1h,TRIPLE_TOP,DOWN,-1,0.9861712148307905,1,3.0345160211741593,0,0,1.2545604644350432,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,1.0340075791131444,1,3.244958021536787,1,0,0.7267977733163026,2020
BTCUSDT,1h,INV_HEAD_SHOULDERS,UP,1,0.734081873214395,1,3.9967489505384126,1,0,0.7267977733163026,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,1.6592967188051235,1,2.8834550497159848,0,0,1.464447916288208,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,1,0.8602117906702011,1,4.710169687694187,1,0,1.464447916288208,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,1,0.9489473551672356,1,5.254705732218394,1,0,0.7723720319770869,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,,0,2.3349268983659606,1,0,0.9158572368088289,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,,0,5.655145922826145,0,0,0.9158572368088289,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,,0,3.73962497032992,0,0,1.1686494184666478,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,,0,8.359983480106912,0,0,1.1686494184666478,2020
BTCUSDT,1h,INV_HEAD_SHOULDERS,UP,-1,0.25115518589606817,1,4.78144119646497,1,0,1.391400407885799,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,,0,5.660173885819274,0,0,1.391400407885799,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,,0,3.785036169141386,0,0,1.1561352443412711,2020
BTCUSDT,1h,TRIPLE_TOP,DOWN,1,,0,4.8353986793248245,0,0,1.1561352443412711,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,1,0.23240876894998924,1,4.915982626883657,0,0,1.1561352443412711,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,-1,0.20576329742175947,1,8.641636259908978,1,0,0.8538860476842332,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,1.3065015479876072,1,2.5338403041825015,1,0,1.0072043225935676,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,0.4785812880109992,1,7.758660936743179,0,0,1.0072043225935676,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,,0,1.8939041929417133,0,0,3.452151786702061,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,0.6752476734777035,1,8.906436037422361,0,0,1.9462152247455897,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,1.613551905923674,1,2.6316379940877987,0,0,1.769759698899839,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,,0,3.573103635084321,1,0,1.9334321621800326,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,,0,4.504090493601482,0,0,1.2208409506398556,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,,0,5.267021835435915,1,0,1.2208409506398556,2020
BTCUSDT,1h,HEAD_SHOULDERS,DOWN,-1,,0,6.638453377342879,1,0,1.1033832370623369,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,-1,,0,6.139457787122761,1,0,1.1033832370623369,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,1,3.2546826025684594,1,7.8213471510874495,0,0,1.6177351275298373,2020
BTCUSDT,1h,RECTANGLE,UP,1,3.17737849931005,1,5.872415770843736,0,0,2.468326078688253,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,,0,2.806265766132318,0,0,1.2310521604687084,2020
BTCUSDT,1h,RECTANGLE,UP,1,0.2544736890192579,1,6.326365784606459,1,0,1.960920326315265,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,,0,2.543787319880097,0,0,0.835402753333173,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,1,0.23837181724126746,1,4.529427649668035,1,0,0.835402753333173,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,0.5386996904024808,1,3.33334661513326,1,0,1.1543013109136597,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,1,0.24603911940147474,1,7.077264066864851,1,0,1.1543013109136597,2020
BTCUSDT,1h,RECTANGLE,UP,-1,,0,4.26321450657615,1,1,0.982624675642211,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,,0,5.117515995780471,1,1,1.1615943529226191,2020
BTCUSDT,1h,TRIPLE_BOTTOM,UP,1,,0,5.077144519042116,1,1,1.1615943529226191,2020
BTCUSDT,1h,RECTANGLE,UP,1,,0,6.286082210131024,1,1,1.1615943529226191,2020
BTCUSDT,1h,HEAD_SHOULDERS,DOWN,1,0.30804396197154676,1,6.646840386708499,0,0,0.7835840962929619,2020
BTCUSDT,1h,RECTANGLE,UP,-1,0.40608715648737237,1,5.190972449103238,1,1,0.7835840962929619,2020
BTCUSDT,1h,SYM_TRIANGLE,DOWN,1,0.06475107153926275,1,8.370339653408395,0,0,1.4457497563227915,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,-1,0.14521836401118343,1,7.836336650641421,1,1,1.2651602987569959,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,0.29089901438042876,1,4.227839538155785,0,0,0.7530993906282861,2020
BTCUSDT,1h,RECTANGLE,UP,-1,0.850337924914525,1,3.972201993505876,1,1,3.2379585724981226,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,-1,0.3970953629003851,1,4.8677355453819064,1,1,2.549551710142786,2020
BTCUSDT,1h,RECTANGLE,UP,-1,2.047549615723134,1,4.137309414201396,1,1,1.2359907530575607,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,-1,,0,4.405374401193332,0,0,1.2389806242244865,2020
BTCUSDT,1h,RECTANGLE,UP,1,0.6573755690337219,1,9.507708021830899,1,1,1.2864084818141637,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,,0,4.221094135608135,0,0,1.0456673518731427,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,1,0.7130406114643487,1,4.822710293295859,1,1,0.9040078610780011,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,,0,3.237344784320521,0,0,1.4690217626443802,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,0.4717388070801778,1,2.575051639467594,0,0,0.7445932451472457,2020
BTCUSDT,1h,TRIPLE_TOP,DOWN,-1,,0,3.9104551112813684,0,0,0.7445932451472457,2020
BTCUSDT,1h,SYM_TRIANGLE,UP,1,1.1903951235646,1,4.86548556274186,1,1,0.7445932451472457,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,0.3747929922426581,1,2.148185793957555,1,1,0.7446469888058331,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,1,0.19690435148515292,1,7.061311892292133,0,0,0.7446469888058331,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,0.5823148148148094,1,2.155135551184475,0,0,1.678611134867035,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,,0,2.7837493710149848,0,0,1.2662082788185804,2020
BTCUSDT,1h,RECTANGLE,DOWN,-1,0.4668112520308278,1,2.423169900940222,0,0,1.2198942627765823,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,1,1.6964386659129507,1,3.467073580468132,0,0,1.3182327248292132,2020
BTCUSDT,1h,RECTANGLE,UP,-1,0.6986927159074428,1,4.649018800253946,1,1,2.620916338278832,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,1.1615738963531674,1,4.408316209355749,1,1,0.8928321044361239,2020
BTCUSDT,1h,DESC_TRIANGLE,DOWN,-1,0.1708166395502987,1,6.432552187744431,0,0,1.4594476056370527,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,-1,0.7106667960788162,1,2.5099752033758223,0,0,1.1968851959803428,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,1,0.42991288607308803,1,2.2995772357723427,1,1,1.2330406504065154,2020
BTCUSDT,1h,ASC_TRIANGLE,UP,1,0.09085079718930886,1,11.597680693872938,1,1,1.2330406504065154,2020
BTCUSDT,1h,RECTANGLE,UP,-1,,0,2.575423898316343,1,1,3.2077133313088533,2020
BTCUSDT,1h,RECTANGLE,UP,1,,0,3.6194297906939616,1,1,2.7354048150844745,2020
BTCUSDT,1h,DOUBLE_TOP,DOWN,0,,0,3.27227928850287,0,0,1.7987691684574112,2020
BTCUSDT,1h,RECTANGLE,UP,0,,0,3.489105128624552,1,1,1.7987691684574112,2020
BTCUSDT,1h,DOUBLE_BOTTOM,UP,-1,,0,4.746611266262527,1,1,0.9059328383625098,2020
BTCUSDT,1h,INV_HEAD_SHOULDERS,UP,-1,,0,4.952830188679248,1,1,0.9059328383625098,2020
