is_null,symbol,tf,arm,kind,end_dir,rev_R,mfe_rev_atr,mae_atr,sagitta_atr,depth_atr,a_norm,arc_gain,r2_quad,L,apex_pos,mtf_up,regime,year
0,BTCUSDT,1h,2020-05-26T00:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,2.041,4.411,1.69,7.2,0.006685,0.245,0.824,45,0.71,1,1,2020
0,BTCUSDT,1h,2020-05-29T13:00:00+00:00,ROUNDING_TOP,DOWN,1.0,2.208,1.479,1.7,5.81,-0.015078,0.508,0.828,30,0.6,1,1,2020
0,BTCUSDT,1h,2020-06-12T07:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,2.009,1.719,1.75,11.83,0.015512,0.096,0.829,30,0.87,1,1,2020
0,BTCUSDT,1h,2020-06-24T11:00:00+00:00,ROUNDING_TOP,DOWN,1.0,1.574,5.13,2.08,6.34,-0.003934,0.421,0.828,65,0.63,0,1,2020
0,BTCUSDT,1h,2020-06-26T05:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,7.134,0.642,1.91,10.86,0.003619,0.126,0.841,65,0.82,0,-1,2020
0,BTCUSDT,1h,2020-07-07T15:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,5.147,1.924,2.14,8.8,-0.008461,0.278,0.914,45,0.69,2,-1,2020
0,BTCUSDT,1h,2020-07-22T15:00:00+00:00,ROUNDING_TOP,DOWN,1.0,10.686,0.422,2.34,8.21,-0.009259,0.298,0.815,45,0.67,2,-1,2020
0,BTCUSDT,1h,2020-07-29T14:00:00+00:00,ROUNDING_TOP,DOWN,1.0,5.184,2.185,2.15,10.69,-0.004063,0.18,0.841,65,0.75,3,1,2020
0,BTCUSDT,1h,2020-08-12T21:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,2.867,4.41,2.62,8.98,0.010342,0.501,0.827,45,0.6,2,1,2020
0,BTCUSDT,1h,2020-08-18T12:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.145,7.417,2.28,7.19,-0.020257,0.423,0.814,30,0.63,2,1,2020
